timestamp,questionID,questionText,answer
1736781143136,1,Ready to go?,ASKED
1736781147371,1,Ready to go?,✅ Yes
1736781203152,2,How does it feel?,ASKED
1736781224205,2,How does it feel?,☀️ Lively
1736781323176,3,Do you like being here?,ASKED
1736781341252,3,Do you like being here?,Yes!
1736781443169,2,How does it feel?,ASKED
1736781461828,2,How does it feel?,🪷 Calm
1736781563171,3,Do you like being here?,ASKED
1736781594654,3,Do you like being here?,Hmmmm
1736781683137,2,How does it feel?,ASKED
1736781803183,3,Do you like being here?,ASKED
1736781923158,2,How does it feel?,ASKED
1736782043194,3,Do you like being here?,ASKED
1736782163148,2,How does it feel?,ASKED
1736782261644,2,How does it feel?,🪷 Calm
1736782283176,3,Do you like being here?,ASKED
1736782308566,3,Do you like being here?,Hmmmm
1736782403142,2,How does it feel?,ASKED
1736782416132,2,How does it feel?,🪷 Calm
1736782523178,3,Do you like being here?,ASKED
