timestamp,questionID,questionText,answer
1736781144939,1,Ready to go?,ASKED
1736781160103,1,Ready to go?,✅ Yes
1736781204981,2,How does it feel?,ASKED
1736781324996,3,Do you like being here?,ASKED
1736781362917,2,How does it feel?,🤯 Chaotic
1736781444965,2,How does it feel?,ASKED
1736781564978,3,Do you like being here?,ASKED
1736781684956,2,How does it feel?,ASKED
1736781804975,3,Do you like being here?,ASKED
1736781924953,2,How does it feel?,ASKED
1736782020119,2,How does it feel?,☀️ Lively
1736782044963,3,Do you like being here?,ASKED
1736782164964,2,How does it feel?,ASKED
1736782284945,3,Do you like being here?,ASKED
1736782404954,2,How does it feel?,ASKED
