timestamp,questionID,questionText,answer
1736784743951,1,Ready to go?,ASKED
1736784803946,2,How does it feel?,ASKED
1736784923975,3,Do you like being here?,ASKED
1736784938844,3,Do you like being here?,Yes!
1736785043954,2,How does it feel?,ASKED
1736785061718,2,How does it feel?,🤯 Chaotic
1736785064376,2,How does it feel?,🤯 Chaotic
1736785065803,2,How does it feel?,🤯 Chaotic
1736785067748,2,How does it feel?,🤯 Chaotic
1736785074390,2,How does it feel?,🤯 Chaotic
1736785077074,2,How does it feel?,🤯 Chaotic
1736785098311,2,How does it feel?,🤯 Chaotic
1736785164000,3,Do you like being here?,ASKED
1736785172046,3,Do you like being here?,Yes!
1736785284000,2,How does it feel?,ASKED
1736785288378,2,How does it feel?,🤯 Chaotic
1736785291390,2,How does it feel?,☀️ Lively
1736785292833,2,How does it feel?,☀️ Lively
1736785298434,2,How does it feel?,☀️ Lively
1736785403944,3,Do you like being here?,ASKED
1736785523970,2,How does it feel?,ASKED
1736785643976,3,Do you like being here?,ASKED
1736785763958,2,How does it feel?,ASKED
1736785883964,3,Do you like being here?,ASKED
1736786003940,2,How does it feel?,ASKED
