timestamp,questionID,questionText,answer
1736781159927,1,Ready to go?,ASKED
1736781165633,1,Ready to go?,✅ Yes
1736781219922,2,How does it feel?,ASKED
1736781229234,2,How does it feel?,☀️ Lively
1736781339919,3,Do you like being here?,ASKED
1736781344016,3,Do you like being here?,Yes!
1736781459923,2,How does it feel?,ASKED
1736781466050,2,How does it feel?,☀️ Lively
1736781580008,3,Do you like being here?,ASKED
1736781603683,3,Do you like being here?,Yes!
1736781699916,2,How does it feel?,ASKED
1736781819917,3,Do you like being here?,ASKED
1736781939935,2,How does it feel?,ASKED
1736782059952,3,Do you like being here?,ASKED
1736782111925,2,How does it feel?,🪷 Calm
1736782179931,2,How does it feel?,ASKED
1736782235528,2,How does it feel?,☀️ Lively
1736782299950,3,Do you like being here?,ASKED
1736782310711,3,Do you like being here?,Yes!
1736782419924,2,How does it feel?,ASKED
